dstport,protocol,tag
32100,17,sv_P1
24762,17,sv_P2
58714,17,sv_P4
57895,17,sv_P1
8757,17,sv_P1
24344,6,sv_P1
52878,6,sv_P4
24777,6,sv_P4
31345,17,sv_P5
14675,17,email
37094,17,email
44801,17,sv_P2
27366,6,sv_P4
64055,6,sv_P4
18541,6,sv_P4
31323,6,sv_P1
46575,17,sv_P4
62778,17,sv_P1
20039,17,sv_P5
62798,6,sv_P4
36773,6,sv_P4
60452,6,sv_P4
35668,6,email
28101,17,sv_P5
52046,6,sv_P1
61773,17,SV_P3
4004,6,sv_P1
53692,6,sv_P2
7813,17,sv_P1
55218,17,sv_P1
60338,6,sv_P5
61504,6,SV_P3
12040,17,sv_P2
5872,6,sv_P4
426,6,sv_P5
6264,6,email
34040,17,sv_P1
7873,17,SV_P3
14327,17,sv_P2
41148,17,sv_P1
21861,6,sv_P2
14554,6,sv_P1
5328,17,sv_P5
47165,6,sv_P1
25756,6,SV_P3
50421,17,sv_P1
2325,17,sv_P5
27214,6,SV_P3
59620,17,sv_P2
39575,17,sv_P4
44337,17,sv_P1
45210,17,SV_P3
43533,17,sv_P1
54436,6,sv_P5
6813,6,sv_P5
3856,17,sv_P5
31537,17,email
36026,17,sv_P5
7531,6,sv_P5
45412,17,sv_P1
24240,17,email
2666,6,email
17039,17,sv_P4
23409,6,sv_P2
60185,6,sv_P1
13465,17,sv_P2
24071,6,sv_P2
51690,6,SV_P3
662,17,SV_P3
25317,17,sv_P4
28855,17,sv_P5
48457,6,SV_P3
63921,17,email
36250,6,sv_P1
62248,17,email
51072,17,SV_P3
7811,6,sv_P1
15077,17,sv_P1
38668,17,email
37488,17,sv_P1
6256,17,sv_P2
43787,17,sv_P2
2915,17,sv_P1
43393,6,sv_P5
23833,6,SV_P3
41805,17,email
63300,6,email
23176,6,email
24444,6,sv_P1
46148,17,SV_P3
31473,17,sv_P4
26115,17,sv_P1
4406,6,sv_P4
38511,17,sv_P2
64178,17,sv_P1
15806,6,sv_P5
10108,6,sv_P4
6682,17,SV_P3
24085,17,sv_P2
9308,17,email
55935,6,sv_P4
2287,6,sv_P2
41848,6,SV_P3
31757,17,sv_P2
3702,17,email
908,6,sv_P5
9215,6,sv_P4
12026,6,sv_P4
19458,6,sv_P5
30289,17,sv_P4
30720,6,sv_P2
38483,6,email
29635,17,sv_P1
24907,6,SV_P3
13967,17,sv_P2
40613,6,sv_P5
38941,17,SV_P3
16188,17,SV_P3
49828,17,email
65174,17,sv_P5
4114,6,sv_P5
5738,17,sv_P2
10556,17,SV_P3
14551,17,SV_P3
27343,6,sv_P1
57096,17,sv_P4
19537,17,sv_P2
24797,17,SV_P3
57077,17,email
39894,6,sv_P4
46889,17,sv_P5
61367,17,sv_P4
3531,17,sv_P4
61581,17,sv_P2
11751,17,sv_P5
35523,17,sv_P2
52034,6,sv_P2
9855,17,sv_P1
58773,17,sv_P5
36456,6,sv_P1
54584,17,email
49607,6,sv_P4
37446,6,email
40289,17,email
26737,6,sv_P5
28745,17,sv_P2
19111,6,email
64983,17,email
3453,6,email
19275,17,sv_P5
18119,17,sv_P4
47968,17,email
59217,6,email
31353,6,SV_P3
13444,6,sv_P2
25623,6,SV_P3
4982,6,SV_P3
41259,17,sv_P1
23798,17,sv_P4
15711,17,email
46117,6,sv_P1
37788,6,sv_P1
23240,17,sv_P2
39374,17,email
27552,17,sv_P4
15790,6,SV_P3
49960,17,sv_P1
8452,6,email
7939,17,sv_P5
50213,17,sv_P5
41673,6,SV_P3
42904,6,sv_P2
3562,6,sv_P2
29920,6,sv_P1
37228,6,sv_P5
2117,6,sv_P4
7874,17,sv_P4
37264,6,email
48280,6,sv_P4
2516,6,SV_P3
20083,17,email
17730,17,sv_P1
55013,17,sv_P2
21305,6,email
15973,6,email
37127,6,sv_P4
38949,17,SV_P3
25975,17,sv_P5
13575,6,sv_P1
48646,6,sv_P1
54347,17,sv_P4
61344,6,SV_P3
37364,6,sv_P1
4104,6,sv_P4
19200,17,email
36806,6,email
20856,6,sv_P5
64098,6,sv_P4
31401,17,email
51267,17,sv_P5
34301,17,sv_P2
50321,17,sv_P5
43089,6,sv_P4
11016,6,SV_P3
15936,6,sv_P5
47521,17,sv_P2
39164,6,sv_P4
37009,6,sv_P4
62047,6,sv_P2
55412,17,email
7473,6,sv_P2
31585,17,sv_P1
52135,6,sv_P5
39997,6,sv_P1
38467,6,email
63175,17,sv_P2
64117,17,sv_P4
30289,6,SV_P3
31259,6,sv_P4
37064,6,email
25962,6,sv_P5
57165,6,sv_P5
50079,6,sv_P5
19531,17,sv_P1
50379,17,sv_P5
35359,6,SV_P3
8345,6,sv_P1
51436,6,sv_P2
64050,17,sv_P5
18550,17,email
53192,17,sv_P1
51899,6,sv_P4
32486,17,SV_P3
39788,17,sv_P2
50082,6,sv_P4
289,6,sv_P4
45114,6,email
50077,6,sv_P5
51649,17,SV_P3
55838,6,email
47811,6,email
36616,17,SV_P3
53209,17,sv_P5
47832,17,sv_P4
38575,6,sv_P5
26988,6,sv_P1
29233,6,sv_P4
7442,17,sv_P4
24797,6,SV_P3
55234,6,SV_P3
59445,17,email
12260,17,sv_P2
7546,17,SV_P3
4835,17,sv_P2
39511,6,sv_P4
16482,17,sv_P2
44263,6,email
32088,6,sv_P2
19274,6,sv_P4
6902,17,SV_P3
16666,17,sv_P4
5167,17,sv_P2
3049,6,email
57253,6,sv_P1
44773,6,email
25018,17,sv_P2
56593,6,email
40046,6,SV_P3
2674,6,sv_P2
7775,6,SV_P3
42655,6,sv_P2
2331,17,sv_P2
27051,6,sv_P2
53317,6,SV_P3
53921,6,sv_P1
9418,6,email
53388,17,sv_P1
11902,17,sv_P5
23342,6,sv_P5
54700,17,sv_P1
9840,6,SV_P3
6865,6,sv_P5
7447,17,sv_P4
35724,17,sv_P1
25759,17,SV_P3
25362,6,sv_P2
50649,6,sv_P2
58708,6,sv_P1
30839,17,email
17614,17,sv_P1
20775,17,sv_P5
64931,17,email
47674,17,sv_P2
22968,17,sv_P2
54517,6,SV_P3
15964,17,SV_P3
43436,17,sv_P2
53233,17,sv_P1
5023,6,sv_P2
2610,6,sv_P1
46676,17,sv_P2
36707,6,sv_P4
15293,17,sv_P2
23071,17,sv_P5
50865,6,sv_P5
6545,17,email
3264,6,sv_P5
5225,6,sv_P1
25060,6,email
55625,17,email
27580,6,sv_P5
39263,6,sv_P2
41901,6,sv_P1
35461,17,email
38870,6,email
3098,6,SV_P3
20660,17,SV_P3
15559,6,sv_P1
8224,6,sv_P5
5140,17,email
29848,17,sv_P2
13478,6,sv_P5
54453,6,sv_P1
31890,6,sv_P5
37820,17,SV_P3
53315,6,sv_P1
14032,6,sv_P1
52723,17,sv_P1
34367,6,email
2090,17,SV_P3
4873,6,sv_P2
36847,6,SV_P3
11461,17,sv_P4
20637,17,sv_P1
41892,17,SV_P3
63336,6,email
30655,17,sv_P5
47864,17,sv_P2
34112,6,sv_P5
6872,17,SV_P3
62042,17,email
7995,6,SV_P3
62653,17,SV_P3
31439,17,email
44496,17,sv_P4
37530,17,sv_P4
21368,6,sv_P5
6269,17,email
48682,6,sv_P5
58517,6,sv_P5
208,17,SV_P3
29054,6,SV_P3
43829,17,sv_P2
5674,6,SV_P3
60052,17,sv_P2
30484,6,email
62115,6,sv_P1
49149,17,SV_P3
10608,6,email
39982,17,email
29374,17,sv_P5
32387,6,sv_P2
34159,17,email
33992,17,SV_P3
35096,17,sv_P2
27714,17,SV_P3
57781,17,SV_P3
45725,17,SV_P3
29337,6,sv_P5
53312,6,sv_P2
27711,6,sv_P1
58059,6,sv_P1
28154,6,sv_P4
59097,17,sv_P5
34827,17,email
64939,6,sv_P5
4905,17,sv_P4
50648,6,sv_P1
17300,17,sv_P2
16816,17,sv_P2
27315,17,email
9628,6,SV_P3
35988,17,sv_P1
33885,6,sv_P4
18886,6,email
16658,6,sv_P1
21342,17,SV_P3
20492,6,sv_P5
27272,17,sv_P1
12722,17,sv_P4
63662,17,sv_P4
39997,17,sv_P5
33754,6,email
45143,6,sv_P4
47448,6,sv_P4
35393,17,sv_P1
40316,17,sv_P2
31423,6,SV_P3
9661,17,SV_P3
22561,6,sv_P1
58110,6,SV_P3
10947,6,email
26550,17,sv_P1
59565,17,email
2348,6,sv_P1
41029,6,email
18089,17,sv_P1
59172,17,email
20749,6,sv_P4
31559,6,SV_P3
3910,6,email
681,17,sv_P2
12856,17,sv_P1
46960,17,SV_P3
59898,6,sv_P4
16173,17,SV_P3
36384,6,sv_P2
38718,17,sv_P2
20491,6,sv_P4
36535,6,sv_P2
33044,17,sv_P1
27337,17,sv_P5
45768,17,sv_P2
63344,17,email
27897,6,sv_P5
24158,6,sv_P4
42565,17,sv_P4
17830,6,SV_P3
45827,6,SV_P3
51604,6,SV_P3
47141,6,sv_P4
48433,17,sv_P4
59384,6,sv_P2
58892,17,sv_P2
21751,17,sv_P2
33192,17,email
22482,6,sv_P5
22077,6,sv_P1
15842,6,SV_P3
46995,17,SV_P3
51356,17,sv_P2
7796,17,sv_P5
39892,6,sv_P5
5568,17,sv_P4
19542,17,sv_P5
39406,6,sv_P5
7548,17,sv_P1
33245,17,sv_P4
26516,17,sv_P5
9525,6,sv_P1
11420,17,sv_P4
16246,17,sv_P4
29159,6,sv_P1
44015,6,email
43055,17,sv_P4
22736,17,sv_P1
3097,17,sv_P2
16821,6,sv_P5
36429,17,email
11545,6,sv_P4
1658,6,SV_P3
51594,17,sv_P5
46000,17,sv_P1
35136,17,sv_P1
1024,6,sv_P1
37389,17,sv_P2
37494,17,sv_P2
54933,17,SV_P3
14891,6,sv_P1
46618,6,sv_P4
48569,17,sv_P2
1395,17,sv_P1
5921,17,sv_P1
29111,6,SV_P3
5483,6,email
29908,6,sv_P1
41391,17,email
165,17,sv_P4
32034,6,sv_P1
11789,6,sv_P5
10007,6,sv_P2
263,6,sv_P2
5301,6,sv_P4
60930,17,sv_P1
4652,6,SV_P3
17175,17,sv_P5
3703,17,sv_P4
37284,6,sv_P2
34636,17,SV_P3
13250,17,sv_P5
54934,17,SV_P3
28476,6,sv_P4
7290,17,sv_P2
2888,6,email
34054,6,sv_P1
51827,17,SV_P3
2444,17,sv_P5
58674,6,SV_P3
7930,17,sv_P5
49631,17,SV_P3
25512,6,sv_P1
58310,17,sv_P1
31809,6,sv_P1
64088,17,SV_P3
44333,17,sv_P5
40380,17,SV_P3
5606,6,sv_P1
10787,17,sv_P4
35237,17,email
56959,6,email
29253,6,SV_P3
11631,17,sv_P2
54290,6,sv_P2
26937,6,sv_P2
17317,17,SV_P3
13556,17,sv_P2
8457,17,sv_P5
57513,17,sv_P5
32839,17,sv_P4
36022,17,sv_P4
14766,6,sv_P2
39010,17,SV_P3
39021,17,sv_P5
56337,6,sv_P2
56085,6,email
22486,17,SV_P3
36210,6,sv_P2
58203,6,sv_P2
42698,17,SV_P3
14072,17,email
61391,6,SV_P3
12274,6,sv_P1
2557,17,sv_P2
23274,6,sv_P5
5350,6,SV_P3
18451,6,sv_P4
33926,17,sv_P1
38648,17,sv_P4
42083,17,email
26058,17,sv_P4
52170,17,SV_P3
6519,17,SV_P3
54336,17,SV_P3
8946,17,SV_P3
63616,6,SV_P3
35452,6,sv_P1
62878,17,sv_P4
41804,17,sv_P2
53775,6,sv_P2
52205,17,sv_P5
50679,17,sv_P1
55070,6,sv_P2
37937,17,sv_P5
11347,6,sv_P1
45795,6,sv_P4
25818,17,sv_P4
48159,6,SV_P3
54036,17,sv_P4
31651,17,sv_P4
4162,17,SV_P3
31033,17,sv_P1
5265,6,SV_P3
50132,6,email
46102,17,email
53577,17,sv_P5
20850,17,sv_P4
11154,17,email
19580,17,email
41478,17,email
35778,6,sv_P2
12951,6,sv_P4
44559,6,sv_P1
50278,17,sv_P2
15519,6,sv_P2
16779,17,sv_P1
4708,17,email
22753,17,sv_P1
17891,6,sv_P4
41515,17,sv_P5
35793,6,sv_P1
48417,17,email
39110,17,sv_P4
27076,6,sv_P5
1337,17,sv_P1
5873,6,SV_P3
46895,6,sv_P5
44197,17,sv_P5
54184,6,sv_P4
13447,17,sv_P2
29056,6,sv_P2
43678,6,sv_P5
37345,17,SV_P3
59659,6,sv_P4
32763,6,sv_P5
5763,17,email
21555,17,sv_P2
14357,6,sv_P2
10926,6,SV_P3
6494,6,SV_P3
50526,6,SV_P3
26506,6,SV_P3
37907,17,SV_P3
38412,17,sv_P5
30332,6,sv_P2
57516,17,sv_P2
19451,6,SV_P3
5852,6,sv_P1
32009,17,sv_P1
6928,17,email
39480,17,sv_P1
60395,6,email
38538,17,SV_P3
27541,17,sv_P1
18080,6,sv_P1
46429,6,sv_P1
45417,17,SV_P3
55516,6,sv_P2
42408,17,email
47451,6,sv_P1
53152,17,sv_P1
10617,17,email
42550,6,sv_P2
5502,17,email
13224,17,sv_P1
48197,6,SV_P3
63676,17,email
40288,17,SV_P3
35692,17,sv_P1
24277,17,sv_P5
12125,6,sv_P4
17919,6,email
53016,6,email
13648,6,sv_P5
39140,17,email
51629,6,sv_P1
1353,17,sv_P2
22465,17,sv_P4
27510,6,email
14841,6,sv_P5
21191,17,email
54518,6,sv_P5
32942,17,sv_P2
6460,17,sv_P1
21823,17,SV_P3
29495,17,SV_P3
28018,6,sv_P5
56071,17,sv_P5
47303,17,sv_P1
24078,6,sv_P2
51761,17,sv_P5
8830,17,sv_P1
14570,17,SV_P3
54794,17,sv_P4
1609,6,sv_P4
52612,17,email
828,6,sv_P4
2494,17,sv_P4
3313,17,email
59671,6,sv_P5
16227,17,sv_P4
60876,17,email
52250,17,sv_P5
52786,6,sv_P4
48765,6,sv_P4
39957,6,SV_P3
6659,17,email
22258,17,sv_P4
12136,17,sv_P2
26174,17,sv_P2
1908,6,sv_P2
23895,17,sv_P2
43672,6,sv_P4
14413,6,sv_P5
36510,6,sv_P4
62957,6,email
50392,17,sv_P1
12420,17,sv_P5
15904,17,SV_P3
33464,17,sv_P4
55672,6,SV_P3
14200,6,sv_P4
55801,6,SV_P3
14934,6,sv_P2
20481,17,sv_P2
49119,6,sv_P4
35397,6,sv_P1
41843,6,sv_P5
5426,6,sv_P5
12656,17,email
13017,6,email
36709,6,sv_P1
48215,6,sv_P5
22660,17,sv_P5
60988,17,sv_P4
17711,17,sv_P2
57740,17,SV_P3
31642,6,SV_P3
29801,6,sv_P1
12385,6,sv_P1
37457,6,sv_P5
62506,17,email
14115,17,SV_P3
51275,17,SV_P3
25585,17,sv_P4
4425,17,sv_P2
43054,17,sv_P2
50704,17,SV_P3
43140,17,email
12667,6,email
55649,17,sv_P4
47528,6,SV_P3
22725,17,SV_P3
29998,6,sv_P1
1897,6,sv_P2
25488,6,email
53946,6,sv_P5
25481,17,sv_P5
4701,6,sv_P5
47216,17,SV_P3
35154,6,sv_P4
54284,17,email
41081,6,sv_P5
50415,6,sv_P2
1817,17,SV_P3
41293,6,email
61882,17,sv_P1
52697,6,sv_P1
44342,6,sv_P4
48293,6,email
53208,17,sv_P5
17569,6,SV_P3
2421,6,sv_P5
22162,6,sv_P4
40375,6,sv_P5
3586,17,SV_P3
13564,17,SV_P3
24728,6,SV_P3
23382,17,sv_P5
38945,17,sv_P4
24324,17,SV_P3
710,17,sv_P4
17570,17,sv_P2
28053,17,sv_P2
3924,6,sv_P2
50150,17,email
22124,17,sv_P2
4958,6,SV_P3
18778,6,sv_P4
33575,6,email
32061,6,sv_P1
23513,6,sv_P2
15298,17,sv_P5
42473,17,email
31532,17,sv_P5
45570,17,sv_P4
34223,17,sv_P2
37557,17,SV_P3
53702,6,sv_P1
22538,6,sv_P2
16745,17,SV_P3
55344,6,sv_P4
37171,6,sv_P1
2817,6,sv_P1
62436,17,sv_P2
46588,6,sv_P4
2171,17,sv_P4
3777,6,email
60603,6,email
43796,17,sv_P2
1558,17,email
31306,6,sv_P1
18825,6,sv_P2
49652,17,sv_P2
33772,17,sv_P2
37860,17,SV_P3
48480,17,email
34800,6,sv_P5
48312,17,sv_P5
48284,17,email
13249,17,sv_P5
48718,6,sv_P4
13570,17,SV_P3
44751,17,email
7172,6,sv_P2
7856,6,sv_P4
31341,6,sv_P2
22730,17,email
45152,17,sv_P4
53627,6,sv_P1
16351,17,sv_P5
43377,6,sv_P2
37222,17,sv_P2
13417,6,sv_P5
28022,17,sv_P4
20210,17,SV_P3
22479,17,sv_P1
56253,6,sv_P1
33585,6,sv_P5
9920,6,email
58096,17,sv_P2
19882,17,sv_P4
48641,6,sv_P4
31533,6,sv_P1
21897,6,sv_P4
43656,6,sv_P2
49492,6,sv_P5
58886,17,sv_P5
47728,6,sv_P1
41653,6,SV_P3
52812,17,sv_P5
45985,17,email
4446,17,sv_P2
24388,6,sv_P4
12286,17,sv_P5
45949,6,email
37231,17,sv_P2
50904,6,sv_P2
34320,6,sv_P5
16672,6,sv_P1
54790,6,SV_P3
2587,17,sv_P1
20798,6,sv_P2
35374,17,sv_P4
11606,17,sv_P5
56063,17,SV_P3
53332,17,SV_P3
14479,17,sv_P1
54682,6,sv_P5
58763,17,sv_P4
11305,17,SV_P3
55742,17,sv_P4
46853,17,sv_P4
53213,17,sv_P5
43707,6,sv_P4
6840,6,sv_P1
61194,17,sv_P5
25941,6,sv_P1
47790,6,sv_P1
14756,6,sv_P5
27811,6,sv_P4
25046,6,email
41493,6,sv_P4
60289,6,SV_P3
56252,6,sv_P5
34236,6,sv_P4
41320,6,sv_P4
12240,6,sv_P5
49445,17,sv_P4
60836,17,SV_P3
27075,17,sv_P4
28276,6,SV_P3
44203,17,SV_P3
49667,17,SV_P3
43142,6,email
4199,6,email
64143,6,sv_P2
16266,17,sv_P1
26441,6,sv_P4
16326,17,sv_P4
41892,6,SV_P3
25521,17,sv_P2
16623,6,sv_P2
6270,17,sv_P5
56693,6,sv_P4
910,17,sv_P5
54124,17,email
19804,17,sv_P5
29304,6,sv_P4
28132,6,sv_P5
55915,6,sv_P4
31222,17,SV_P3
29176,17,sv_P1
9987,6,SV_P3
35569,17,sv_P5
14641,6,SV_P3
44774,6,sv_P4
44407,6,sv_P2
32094,17,SV_P3
45444,17,sv_P2
20483,17,sv_P5
779,17,sv_P2
58306,6,sv_P2
61684,6,sv_P4
37694,6,SV_P3
60213,17,email
19653,17,sv_P5
27878,6,sv_P5
53566,6,sv_P1
53654,17,sv_P1
42937,6,sv_P4
61109,17,sv_P4
47017,17,sv_P5
53764,17,sv_P5
27594,17,email
59711,6,SV_P3
60856,17,sv_P4
41707,6,sv_P5
26175,6,sv_P4
45935,6,SV_P3
4595,17,sv_P1
9895,6,SV_P3
52489,17,sv_P2
62824,6,email
8866,17,sv_P5
23586,17,SV_P3
44833,6,sv_P1
25908,17,sv_P5
17060,17,sv_P4
22538,17,sv_P2
26984,17,sv_P4
33005,6,SV_P3
5310,17,email
60438,17,sv_P5
20537,6,email
23604,6,sv_P4
65062,6,sv_P4
26526,6,sv_P2
1753,6,sv_P4
45424,6,sv_P2
60136,17,sv_P1
26311,6,SV_P3
57856,6,sv_P2
27997,6,email
52489,17,sv_P5
22861,6,sv_P1
6732,6,sv_P1
28768,6,sv_P1
49112,6,SV_P3
2823,6,email
61554,17,sv_P4
10656,6,sv_P5
30250,6,SV_P3
10907,17,sv_P5
17024,17,sv_P2
12730,17,SV_P3
41636,6,email
61308,17,sv_P2
43548,17,sv_P4
44675,17,sv_P5
22273,17,sv_P1
8191,17,email
50764,17,sv_P1
27628,6,sv_P2
50315,17,sv_P1
57406,17,sv_P2
56101,6,SV_P3
32582,6,sv_P5
14518,6,sv_P5
10697,6,sv_P2
31244,6,sv_P5
41047,6,sv_P2
9496,6,email
14689,17,SV_P3
13093,6,sv_P4
22081,6,email
59209,17,sv_P5
12067,17,sv_P4
16959,17,email
4481,6,sv_P2
3965,6,email
65184,6,sv_P1
34845,17,sv_P1
36276,6,email
23347,6,sv_P4
61351,6,email
61387,17,sv_P4
59034,6,SV_P3
60207,17,sv_P5
12176,6,sv_P5
19922,17,email
10631,6,sv_P4
29859,6,SV_P3
1277,6,sv_P5
19263,6,sv_P1
65407,6,SV_P3
18989,17,sv_P2
34499,17,email
40857,6,sv_P5
51092,17,sv_P5
61710,6,sv_P5
49608,17,sv_P5
12089,6,sv_P5
29273,6,sv_P1
58908,6,sv_P5
21141,6,sv_P1
54942,6,sv_P1
23119,6,sv_P1
205,6,SV_P3
64063,17,sv_P2
26400,17,sv_P2
6914,17,sv_P2
48994,17,sv_P1
33256,17,sv_P2
65138,17,sv_P4
19695,17,sv_P5
16393,17,sv_P1
53859,17,sv_P4
62475,6,sv_P5
20360,17,sv_P5
44312,6,sv_P1
39466,17,sv_P2
12168,6,sv_P2
20045,17,email
43013,6,SV_P3
7672,6,email
12803,17,sv_P1
14931,17,sv_P5
842,17,sv_P5
44322,17,sv_P1
48927,6,sv_P1
50617,6,sv_P4
28166,6,SV_P3
23171,6,sv_P5
44753,17,sv_P1
50777,17,SV_P3
29571,6,SV_P3
18269,17,sv_P2
6568,6,sv_P5
23782,17,sv_P4
25761,17,sv_P5
55262,17,sv_P4
28172,17,sv_P1
22297,6,email
43032,6,sv_P4
45485,17,email
52092,17,sv_P4
55701,6,email
53937,6,sv_P5
4888,6,sv_P1
46105,17,sv_P1
8470,6,SV_P3
40855,6,SV_P3
62886,6,SV_P3
65303,17,sv_P5
15237,6,sv_P2
27214,17,SV_P3
58210,6,sv_P2
17946,17,email
43537,6,sv_P2
19403,6,sv_P2
10360,6,SV_P3
40262,17,sv_P2
7679,6,email
8073,17,sv_P1
40330,6,sv_P4
48431,17,sv_P2
2532,17,email
7283,17,sv_P4
54134,6,sv_P1
47543,17,SV_P3
30094,17,SV_P3
52260,6,sv_P5
2325,6,email
42808,17,sv_P4
5955,6,sv_P4
34698,17,SV_P3
27241,6,sv_P1
44555,6,email
1213,6,sv_P4
8538,6,sv_P5
36216,17,sv_P5
43775,6,sv_P4
45083,6,sv_P2
13785,6,SV_P3
25638,17,email
16264,17,email
41407,6,SV_P3
12335,17,email
35582,17,sv_P2
9848,17,sv_P5
41868,17,email
35023,17,sv_P5
38165,6,SV_P3
52951,6,sv_P4
11676,17,sv_P5
31441,17,sv_P2
14595,17,sv_P1
16812,17,SV_P3
19073,17,email
9126,17,email
65009,17,sv_P1
10277,6,sv_P2
30414,6,sv_P4
33324,6,sv_P1
48394,17,sv_P2
41979,6,sv_P1
21392,17,sv_P1
29312,17,sv_P2
60042,17,SV_P3
49981,17,SV_P3
19689,6,SV_P3
10470,6,sv_P4
24500,6,sv_P1
41486,6,SV_P3
41831,6,sv_P5
26415,17,sv_P4
27662,6,SV_P3
31594,17,email
11118,17,sv_P1
26341,17,SV_P3
47177,6,sv_P4
45295,6,sv_P4
21899,17,sv_P5
17848,6,sv_P5
52066,17,sv_P2
16214,6,sv_P5
42716,17,sv_P2
57085,6,sv_P1
23445,6,sv_P5
34399,17,sv_P1
50823,17,sv_P4
55396,6,SV_P3
7472,17,sv_P5
2624,6,sv_P5
57257,17,sv_P4
45909,17,sv_P4
29568,17,sv_P5
2263,17,sv_P5
56011,6,sv_P4
20610,17,email
39660,6,sv_P5
46601,6,sv_P2
4792,6,sv_P1
45832,17,SV_P3
57085,6,email
32239,17,sv_P2
29520,17,email
41302,17,sv_P1
14637,6,SV_P3
1173,6,sv_P4
26313,17,sv_P1
13245,6,SV_P3
39459,6,sv_P1
48608,6,email
25224,17,sv_P1
31031,17,SV_P3
38816,6,SV_P3
51002,6,SV_P3
65132,6,sv_P4
38498,17,sv_P2
11407,17,sv_P2
42917,17,sv_P1
40221,17,sv_P1
21798,17,email
53116,6,sv_P5
34421,6,sv_P5
41247,17,email
41267,17,sv_P5
21674,17,SV_P3
4869,17,sv_P1
29489,17,sv_P2
33386,6,email
7934,17,email
47616,17,sv_P1
2309,6,sv_P5
52321,17,sv_P1
50095,6,SV_P3
21596,6,sv_P2
17291,17,sv_P5
24054,17,sv_P5
55812,6,SV_P3
35736,17,sv_P5
17498,6,email
16904,17,sv_P1
53132,17,sv_P2
36436,17,sv_P1
35513,6,sv_P2
19350,17,sv_P5
23655,6,sv_P4
12139,17,sv_P1
31682,6,email
6457,17,SV_P3
30786,17,email
41758,6,sv_P4
21651,6,sv_P2
40392,6,sv_P2
47716,6,sv_P1
